record_id,classification,valid_structure,n_points,n_timestamps,invalid_timestamps,invalid_coordinates,negative_dt,zero_dt,positive_dt,same_time_different_position,consecutive_duplicate_position,long_gap_gt_30_source_seconds,edges_total,dt_computable,position_pairs_computable,time_span_raw,dt_min_raw,dt_max_raw,issues
5495,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,92,0,99,99,99,1191,1.0,20.0,
5496,CURRENT_RUN_REAL_DATA,True,116,116,0,0,0,1,114,1,33,0,115,115,115,1194,0.0,27.0,
5497,CURRENT_RUN_REAL_DATA,True,109,109,0,0,0,2,106,2,24,1,108,108,108,1193,0.0,33.0,
5498,CURRENT_RUN_REAL_DATA,True,108,108,0,0,0,4,103,4,25,1,107,107,107,1189,0.0,44.0,
5499,CURRENT_RUN_REAL_DATA,True,129,129,0,0,0,45,83,45,0,0,128,128,128,858,0.0,29.0,
5500,CURRENT_RUN_REAL_DATA,True,109,109,0,0,0,1,107,1,2,0,108,108,108,1195,0.0,28.0,
5501,CURRENT_RUN_REAL_DATA,True,114,114,0,0,0,6,107,5,35,1,113,113,113,1190,0.0,31.0,
5502,CURRENT_RUN_REAL_DATA,True,120,120,0,0,0,11,108,11,3,1,119,119,119,1190,0.0,129.0,
5503,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,96,0,98,98,98,1190,5.0,30.0,
5504,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,81,0,98,98,98,1191,9.0,20.0,
5505,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,78,0,97,97,97,1190,9.0,30.0,
5506,CURRENT_RUN_REAL_DATA,True,103,103,0,0,0,44,58,9,80,6,102,102,102,1162,0.0,207.0,
5507,CURRENT_RUN_REAL_DATA,True,101,101,0,0,0,0,100,0,35,0,100,100,100,1187,2.0,30.0,
5508,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,1,96,1,70,0,97,97,97,1136,0.0,23.0,
5509,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,78,0,98,98,98,1180,1.0,21.0,
5510,CURRENT_RUN_REAL_DATA,True,107,107,0,0,0,2,104,1,44,0,106,106,106,1188,0.0,27.0,
5511,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,14,91,14,17,1,105,105,105,1137,0.0,122.0,
5512,CURRENT_RUN_REAL_DATA,True,107,107,0,0,0,18,88,18,3,1,106,106,106,1189,0.0,179.0,
5513,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,0,105,0,28,1,105,105,105,1195,1.0,31.0,
5514,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,97,0,97,97,97,1189,7.0,30.0,
5515,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,1,97,1,74,0,98,98,98,1186,0.0,29.0,
5516,CURRENT_RUN_REAL_DATA,True,112,112,0,0,0,2,109,2,20,0,111,111,111,1186,0.0,22.0,
5517,CURRENT_RUN_REAL_DATA,True,108,108,0,0,0,5,102,5,16,0,107,107,107,1188,0.0,30.0,
5518,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,48,0,97,97,97,1162,2.0,21.0,
5519,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,97,0,97,97,97,1186,6.0,28.0,
5520,CURRENT_RUN_REAL_DATA,True,64,64,0,0,0,38,25,0,63,7,63,63,63,1108,0.0,344.0,
5521,CURRENT_RUN_REAL_DATA,True,101,101,0,0,0,0,100,0,100,0,100,100,100,1194,3.0,21.0,
5522,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1191,4.0,21.0,
5523,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1191,6.0,21.0,
5524,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,98,0,98,98,98,1195,9.0,21.0,
5525,CURRENT_RUN_REAL_DATA,True,109,109,0,0,0,7,101,6,60,2,108,108,108,1192,0.0,59.0,
5526,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,1,96,1,38,1,97,97,97,1189,0.0,100.0,
5527,CURRENT_RUN_REAL_DATA,True,103,103,0,0,0,0,102,0,20,0,102,102,102,1189,1.0,27.0,
5528,CURRENT_RUN_REAL_DATA,True,104,104,0,0,0,2,101,2,37,1,103,103,103,1190,0.0,33.0,
5529,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,0,105,0,12,1,105,105,105,1195,1.0,33.0,
5530,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,90,0,99,99,99,1195,1.0,22.0,
5531,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,88,0,98,98,98,1179,1.0,21.0,
5532,CURRENT_RUN_REAL_DATA,True,105,105,0,0,0,0,104,0,67,0,104,104,104,1194,1.0,29.0,
5533,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,2,103,2,24,0,105,105,105,1186,0.0,28.0,
5534,CURRENT_RUN_REAL_DATA,True,54,54,0,0,0,1,52,1,0,1,53,53,53,716,0.0,105.0,
5535,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,8,89,8,0,2,97,97,97,1190,0.0,86.0,
5536,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,98,0,99,99,99,1191,4.0,20.0,
5537,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,5,0,99,99,99,1191,3.0,20.0,
5538,CURRENT_RUN_REAL_DATA,True,119,119,0,0,0,23,95,17,50,0,118,118,118,1039,0.0,21.0,
5539,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,26,0,98,98,98,1193,10.0,20.0,
5540,CURRENT_RUN_REAL_DATA,True,104,104,0,0,0,0,103,0,0,0,103,103,103,1189,1.0,20.0,
5541,CURRENT_RUN_REAL_DATA,True,101,101,0,0,0,4,96,0,99,2,100,100,100,1193,0.0,49.0,
5542,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,71,0,98,98,98,1186,5.0,26.0,
5543,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,78,0,99,99,99,1191,2.0,20.0,
5544,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,1,98,1,59,0,99,99,99,1190,0.0,26.0,
5545,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1189,6.0,21.0,
5546,CURRENT_RUN_REAL_DATA,True,107,107,0,0,0,0,106,0,47,0,106,106,106,1194,1.0,20.0,
5547,CURRENT_RUN_REAL_DATA,True,116,116,0,0,0,4,111,4,20,1,115,115,115,1186,0.0,31.0,
5548,CURRENT_RUN_REAL_DATA,True,103,103,0,0,0,0,102,0,27,0,102,102,102,1193,2.0,28.0,
5549,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1192,2.0,21.0,
5550,CURRENT_RUN_REAL_DATA,True,97,97,0,0,0,0,96,0,0,0,96,96,96,1186,9.0,30.0,
5551,CURRENT_RUN_REAL_DATA,True,104,104,0,0,0,0,103,0,45,0,103,103,103,1176,1.0,25.0,
5552,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,97,1,97,97,97,1190,5.0,31.0,
5553,CURRENT_RUN_REAL_DATA,True,110,110,0,0,0,6,103,6,34,0,109,109,109,1184,0.0,30.0,
5554,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,78,0,98,98,98,1190,3.0,22.0,
5555,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,98,0,98,98,98,1190,8.0,21.0,
5556,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,1,104,0,37,0,105,105,105,1176,0.0,24.0,
5557,CURRENT_RUN_REAL_DATA,True,109,109,0,0,0,2,106,2,43,0,108,108,108,1196,0.0,25.0,
5558,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1191,2.0,21.0,
5559,CURRENT_RUN_REAL_DATA,True,104,104,0,0,0,3,100,3,7,1,103,103,103,1198,0.0,68.0,
5560,CURRENT_RUN_REAL_DATA,True,101,101,0,0,0,3,97,3,12,1,100,100,100,1166,0.0,98.0,
5561,CURRENT_RUN_REAL_DATA,True,97,97,0,0,0,0,96,0,96,2,96,96,96,1187,1.0,42.0,
5562,CURRENT_RUN_REAL_DATA,True,110,110,0,0,0,1,108,0,26,0,109,109,109,1191,0.0,24.0,
5563,CURRENT_RUN_REAL_DATA,True,103,103,0,0,0,0,102,0,68,0,102,102,102,1191,2.0,21.0,
5564,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1191,2.0,22.0,
5565,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1192,4.0,21.0,
5566,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,97,0,97,97,97,1187,6.0,29.0,
5567,CURRENT_RUN_REAL_DATA,True,97,97,0,0,0,0,96,0,96,1,96,96,96,1193,3.0,31.0,
5568,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,1,98,1,72,0,99,99,99,1194,0.0,30.0,
5569,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,77,0,98,98,98,1190,10.0,20.0,
5570,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1193,5.0,22.0,
5571,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1191,3.0,21.0,
5572,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,98,0,98,98,98,1195,9.0,21.0,
5573,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,97,0,97,97,97,1186,9.0,22.0,
5574,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,98,0,98,98,98,1195,9.0,21.0,
5575,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1195,1.0,21.0,
5576,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,98,0,98,98,98,1186,1.0,21.0,
5577,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,97,2,97,97,97,1191,2.0,31.0,
5578,CURRENT_RUN_REAL_DATA,True,108,108,0,0,0,4,103,4,78,0,107,107,107,1189,0.0,28.0,
5579,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,97,0,97,97,97,1194,9.0,30.0,
5580,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,98,0,98,98,98,1190,4.0,21.0,
5581,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,2,96,1,35,1,98,98,98,1193,0.0,100.0,
5582,CURRENT_RUN_REAL_DATA,True,107,107,0,0,0,1,105,1,30,0,106,106,106,1189,0.0,24.0,
5583,CURRENT_RUN_REAL_DATA,True,101,101,0,0,0,0,100,0,36,2,100,100,100,1190,1.0,60.0,
5584,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,98,0,98,98,98,1191,9.0,21.0,
5585,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1191,3.0,21.0,
